#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Arritmias
#columns:Front|Back|Tags
#tags column:3
Taquicardia sinusal: ¿causa, frecuencia, QRS, onda P y conducta?|Respuesta fisiológica; FC 100-160 lpm; QRS angosto; presenta onda P; conducta: tratar la causa.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 1</i></small>|examen_final::arritmias::taqui_supraventricular
Heurística de las notas: entre una onda R y la siguiente, ¿cómo se distinguen la taquicardia sinusal y la supraventricular?|La taquicardia sinusal muestra 2 "montañas" entre R-R (se ven la onda T y la onda P). La supraventricular muestra solo 1 "montaña" (no se ve onda P).<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 1-2</i></small>|examen_final::arritmias::taqui_supraventricular
Taquicardia supraventricular (TSV): ¿ritmo, onda P y rasgo visual?|Ritmo regular; no presenta onda P; muestra solo una "montaña" entre R-R.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 2</i></small>|examen_final::arritmias::taqui_supraventricular
Fibrilación auricular: ¿ritmo, QRS, frecuencia, onda P y ondas características?|Ritmo irregular; QRS angosto; FC 200-250 lpm (según el material); no se evidencia onda P; presenta ondas f.<br><br><i>Nota: en la FA la actividad auricular (ondas f) es de ~350-600/min y la respuesta ventricular suele ser &lt;180/min; el rango 200-250 lpm no es un criterio diagnóstico estándar.</i><br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 2</i></small>|examen_final::arritmias::taqui_supraventricular
Flutter auricular: ¿ritmo y onda característica?|Puede ser regular o irregular; presenta onda F (dientes de serrucho).<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 3</i></small>|examen_final::arritmias::taqui_supraventricular
Taquicardia nodal: ¿dónde se origina y cómo es la onda P?|Se origina en el nodo AV; si hay onda P, está invertida (en V2) y aparece antes, durante o después del QRS. Se invierte porque la conducción se devuelve (retrógrada) desde el nodo AV.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 3</i></small>|examen_final::arritmias::taqui_supraventricular
¿Qué taquiarritmias supraventriculares NO muestran onda P normal?|TSV (sin onda P), fibrilación auricular (sin P, con ondas f), flutter (ondas F en serrucho) y taquicardia nodal (P invertida u oculta). La taquicardia sinusal SÍ tiene onda P normal.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 1-3</i></small>|examen_final::arritmias::taqui_supraventricular
Entre las taquicardias supraventriculares de QRS angosto, ¿cuál tiene ritmo irregular?|La fibrilación auricular. La taquicardia sinusal, la TSV y la nodal son regulares; el flutter suele ser regular, pero puede ser irregular si la conducción AV varía.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 1-3</i></small>|examen_final::arritmias::taqui_supraventricular
Taquicardia ventricular (monomórfica o polimórfica): ¿onda P, frecuencia y QRS?|No se presenta onda P; FC 120-300 lpm; QRS ancho (&gt;0,12 s).<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 4</i></small>|examen_final::arritmias::taqui_ventricular
Diferencia visual entre taquicardia ventricular monomórfica y polimórfica.|Monomórfica: los complejos anchos tienen todos la misma forma (una sola morfología). Polimórfica: la forma de los complejos varía (cambia de amplitud y dirección).<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 4</i></small>|examen_final::arritmias::taqui_ventricular
Fibrilación ventricular: ¿qué tipo de ritmo es y se evidencia el QRS?|Es un ritmo caótico; no se evidencia complejo QRS.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 5</i></small>|examen_final::arritmias::taqui_ventricular
Fibrilación ventricular: ¿qué indica una onda ancha (gruesa) frente a una onda delgada (fina)?|Onda ancha/gruesa = fibrilación ventricular reciente. Onda delgada/fina = fibrilación ventricular de mayor tiempo de evolución.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 5</i></small>|examen_final::arritmias::taqui_ventricular
Bradicardia sinusal: ¿causa, frecuencia, QRS y onda P?|Respuesta fisiológica o a medicamentos; FC 50-60 lpm; QRS angosto; presenta onda P.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 5</i></small>|examen_final::arritmias::bradiarritmias
Bloqueo AV de primer grado: ¿cómo se identifica y cómo es el ritmo?|Segmento PR alargado: mide más de 5 mm o &gt;0,20 s; ritmo regular.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 6</i></small>|examen_final::arritmias::bloqueos_av
Bloqueo AV de segundo grado Mobitz I: ¿qué ocurre con el segmento PR?|El PR va aumentando de forma progresiva (ej.: 0,18 → 0,20 → 0,22 → 0,24 s) hasta que un latido no conduce.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 6</i></small>|examen_final::arritmias::bloqueos_av
Bloqueo AV de segundo grado Mobitz II: ¿cómo es el PR y qué ocurre?|El PR mide menos de 0,20 s (normal y constante); sin embargo, llega un punto en que una onda P no conduce (QRS ausente).<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 6</i></small>|examen_final::arritmias::bloqueos_av
Bloqueo AV de tercer grado: ¿qué relación hay entre aurículas y ventrículos?|Aurículas y ventrículos son independientes; su conducción eléctrica no tiene coherencia (disociación AV). Las ondas P son regulares entre sí y los QRS son regulares entre sí, pero no están relacionados.<br><br><small><i>Fuente: Notas de Arritmias cardíacas, p. 7</i></small>|examen_final::arritmias::bloqueos_av
