#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Salas de Cirugía
#columns:Front|Back|Tags
#tags column:3
Concepto de cálculo: ¿cómo se obtiene la concentración por cc de un fármaco? Ej.: fentanyl 500 mcg en 10 ml.|Se divide la cantidad total entre el volumen: 500 mcg ÷ 10 ml = 50 mcg/ml, es decir 1 cc = 50 mcg.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 4</i></small>|examen_final::salas::calculos
Ejercicio (fentanyl): la ampolla es 500 mcg/10 ml (50 mcg/cc). Para administrar 200 mcg, ¿cuántos ml se retiran de la ampolla?|200 mcg ÷ 50 mcg/cc = 4 ml.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 4</i></small>|examen_final::salas::calculos
Medicamentos expresados en porcentaje: ¿a qué equivale un X %?|X % = X gramos por cada 100 ml. Ej.: 100 % = 100 g/100 ml = 250 g en 250 ml.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 5</i></small>|examen_final::salas::calculos
Remifentanil: ¿dosis de inducción y de mantenimiento (en mcg/kg/min)?|Inducción 0,4 mcg/kg/min; mantenimiento 0,2 mcg/kg/min.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 6 y 10</i></small>|examen_final::salas::calculos
Ejercicio: remifentanil en infusión, dosis de inducción 0,4 mcg/kg/min, paciente de 66 kg, mezcla de 2 mg en 100 ml. ¿A cuántos cc/h se programa la bomba?|cc/h = (dosis × 60 × peso × cc totales) ÷ mcg totales = (0,4 × 60 × 66 × 100) ÷ 2000 = 158.400 ÷ 2000 = 79,2 cc/h.<br>(2 mg = 2000 mcg)<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 11-12</i></small>|examen_final::salas::calculos
Ejercicio (fibrobroncoscopia): remifentanil en dosis de inducción 0,4 mcg/kg/min, paciente de 90 kg, mezcla de 2 mg/100 ml. ¿cc/h?|cc/h = (0,4 × 60 × 90 × 100) ÷ 2000 = 216.000 ÷ 2000 = 108 cc/h.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 10</i></small>|examen_final::salas::calculos
Ejercicio: propofol 200 mg/20 ml (1 cc = 10 mg). Para administrar 50 mg, ¿cuántos cc?|50 mg ÷ 10 mg/cc = 5 cc.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 12</i></small>|examen_final::salas::calculos
Ejercicio: bromuro de rocuronio 50 mg/5 ml (1 cc = 10 mg). Para administrar 40 mg, ¿cuántos cc?|40 mg ÷ 10 mg/cc = 4 cc.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 12</i></small>|examen_final::salas::calculos
¿Qué fármacos y en qué cantidad se usan para la reversión muscular?|5 ampollas de neostigmina + 1 ampolla de atropina.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 8</i></small>|examen_final::salas::dosis
Tabla de práctica de Salas: ¿qué orden (dosis) se da para cada fármaco?|Ondansetrón 4 mg, neostigmina 2,5 mg, etomidato 10 mg, propofol 100 mg y bromuro de rocuronio 20 mg.<br><br><i>Nota: son las órdenes de la tabla de ejercicios; la columna de presentación venía en blanco para que se calculen los cc.</i><br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 9</i></small>|examen_final::salas::dosis
¿Cuáles son los tipos de anestesia?|General, local, espinal, epidural y bloqueo de nervio.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 13</i></small>|examen_final::salas::anestesia
Herida tipo I (Limpia): características e índice de ISO (infección del sitio operatorio).|No hay apertura de víscera hueca (no compromete tracto respiratorio, GI, genital ni urinario), sin proceso inflamatorio, técnica aséptica perfecta y procedimiento electivo. ISO 1-5 %.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
Herida tipo II (Limpia contaminada): características e ISO.|Apertura controlada de víscera hueca (tracto respiratorio, GI o urinario), sin proceso inflamatorio, técnica aséptica casi perfecta, sin derrame importante de contenido y sin contacto de la herida con fluidos. ISO 3-11 %.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
Herida tipo III (Contaminada): características e ISO.|Transgresión mayor de la técnica, apertura de víscera hueca sin control con derrame de contenido (GI), proceso inflamatorio aparente y mala técnica aséptica. ISO 10-17 %.<br><br><small><i>Fuente: Mentoría Salas de Cirugía, p. 14</i></small>|examen_final::salas::heridas
