#separator:pipe
#html:true
#columns:Front|Back|Tags
#tags column:3
¿Qué representan las funciones mentales?|La actividad del sistema nervioso central.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 1-2</i></small>|examen_final::semiologia::funciones_mentales
¿En qué grupos se clasifican las funciones mentales?|De relación, de síntesis, cognoscitivas, afectivas y de control ejecutivo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 1-2</i></small>|examen_final::semiologia::funciones_mentales
¿Qué funciones mentales pertenecen al grupo 'de relación'?|Porte y actitud, conciencia, orientación, atención y sueño.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 2</i></small>|examen_final::semiologia::funciones_mentales
¿Qué funciones mentales pertenecen al grupo 'cognoscitivas'?|Sensopercepción, lenguaje, memoria y pensamiento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 15</i></small>|examen_final::semiologia::funciones_mentales
¿Qué funciones mentales pertenecen al grupo 'de síntesis'?|Inteligencia, juicio/raciocinio y cálculo.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 29</i></small>|examen_final::semiologia::funciones_mentales
¿Qué es el porte y actitud en semiología psiquiátrica?|Es la apariencia y comportamiento general del sujeto durante la entrevista.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 3</i></small>|examen_final::semiologia::porte_actitud
Al evaluar el 'porte y actitud', ¿qué se describe en 'edad'?|La edad cronológica y la edad aparente.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 3</i></small>|examen_final::semiologia::porte_actitud
Al evaluar el 'porte y actitud', ¿qué se observa en el cuidado personal?|Olor, aspecto de la piel y si luce aseado o aseada.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 3</i></small>|examen_final::semiologia::porte_actitud
¿Cómo puede describirse la marcha en la valoración del porte y actitud?|Rápida, lenta, inestable u oscilante.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 3</i></small>|examen_final::semiologia::porte_actitud
¿Qué se evalúa en las 'facies' del paciente?|La expresión de la cara: preocupación, dolor, inexpresividad, tristeza, tensión, irritabilidad, cólera, temor, desprecio, alegría o ensimismamiento.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 4</i></small>|examen_final::semiologia::porte_actitud
¿Cómo puede ser la postura del paciente?|Erguida, encorvada o recostada.<br><br><small><i>Fuente: Semiología Psiquiátrica, p. 4</i></small>|examen_final::semiologia::porte_actitud
