#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Urgencias
#columns:Front|Back|Tags
#tags column:3
¿Qué taquiarritmia supraventricular se identifica en el EKG por ondas con forma de "serrucho" (dientes de sierra) entre los complejos R-R?|Flutter auricular.<br><br><small><i>Fuente: Mentoría Urgencias, p. 7</i></small>|examen_final::urgencias::arritmias_dx
Flutter auricular: describe el ritmo, la onda P y el QRS.|Ritmo regular, onda P no visible (sustituida por ondas F en serrucho) y QRS angosto.<br><br><small><i>Fuente: Mentoría Urgencias, p. 7</i></small>|examen_final::urgencias::arritmias_dx
¿Qué taquiarritmia supraventricular tiene onda P no visible, intervalo R-R irregular y QRS angosto?|Fibrilación auricular.<br><br><small><i>Fuente: Mentoría Urgencias, p. 9</i></small>|examen_final::urgencias::arritmias_dx
Fibrilación auricular vs. flutter auricular: ambas tienen onda P no visible y QRS angosto. ¿Cuál es la diferencia clave en el ritmo?|El flutter es regular (R-R regular); la fibrilación auricular es irregular (R-R irregular).<br><br><small><i>Fuente: Mentoría Urgencias, p. 7 y 9</i></small>|examen_final::urgencias::arritmias_dx
¿Qué bloqueo AV se caracteriza por un intervalo P-R prolongado (>0,20 s) y constante, donde todas las P conducen a QRS y el R-R es regular?|Bloqueo AV de primer grado.<br><br><small><i>Fuente: Mentoría Urgencias, p. 11</i></small>|examen_final::urgencias::arritmias_dx
Bloqueo AV de primer grado: ¿valor del intervalo P-R y conducen o no las ondas P?|P-R >0,20 s (prolongado y constante); todas las P conducen a QRS.<br><br><small><i>Fuente: Mentoría Urgencias, p. 11</i></small>|examen_final::urgencias::arritmias_dx
¿Qué bloqueo AV presenta un P-R que se alarga progresivamente latido a latido hasta que una onda P deja de conducir (QRS ausente)?|Bloqueo AV de segundo grado Mobitz I (Wenckebach).<br><br><small><i>Fuente: Mentoría Urgencias, p. 13</i></small>|examen_final::urgencias::arritmias_dx
¿Qué bloqueo AV tiene un P-R normal y constante, pero de forma súbita una onda P no conduce a QRS (sin alargamiento previo)?|Bloqueo AV de segundo grado Mobitz II.<br><br><small><i>Fuente: Mentoría Urgencias, p. 15</i></small>|examen_final::urgencias::arritmias_dx
Diferencia entre Mobitz I y Mobitz II en el comportamiento del P-R antes de la P bloqueada.|Mobitz I: el P-R se alarga progresivamente antes de la P bloqueada. Mobitz II: el P-R permanece constante y la P se bloquea de forma súbita.<br><br><small><i>Fuente: Mentoría Urgencias, p. 13 y 15</i></small>|examen_final::urgencias::arritmias_dx
¿Qué arritmia ventricular muestra QRS ancho, morfología polimórfica/caótica y generalmente NO tiene pulso?|Fibrilación ventricular.<br><br><small><i>Fuente: Mentoría Urgencias, p. 17</i></small>|examen_final::urgencias::arritmias_dx
Fibrilación ventricular: ¿tiene pulso? ¿cuál es el manejo?|Generalmente sin pulso; manejo: desfibrilar.<br><br><small><i>Fuente: Mentoría Urgencias, p. 17</i></small>|examen_final::urgencias::arritmias_dx
¿Qué arritmia ventricular no permite diferenciar ondas P ni T, tiene QRS ancho y picos en una misma dirección?|Taquicardia ventricular monomórfica.<br><br><small><i>Fuente: Mentoría Urgencias, p. 19</i></small>|examen_final::urgencias::arritmias_dx
Taquicardia ventricular: manejo según la presencia de pulso.|Con pulso: cardioversión. Sin pulso: desfibrilar.<br><br><small><i>Fuente: Mentoría Urgencias, p. 19</i></small>|examen_final::urgencias::arritmias_dx
