#separator:pipe
#html:true
#notetype:Basic
#deck:Examen Final Enfermería::Mezclas y Diluciones
#columns:Front|Back|Tags
#tags column:3
Regla del taller de Mezclas y Diluciones: cuando una pregunta pide la dosis de un medicamento (con rango) para práctica, ¿qué valor se usa?|La dosis más baja del rango.<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (nota inicial)</i></small>|examen_final::mezclas::metodo
Ejercicio: ampicilina/sulbactam, presentación de 1,5 g reconstituida en 4 ml de SSN 0,9 %. ¿Cuál es la concentración del fármaco?|1,5 g = 1500 mg ÷ 4 ml = 375 mg/ml.<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 1)</i></small>|examen_final::mezclas::concentracion
Ejercicio: ampicilina/sulbactam a 375 mg/ml (1,5 g en 4 ml). Para administrar 750 mg, ¿cuántos ml se administran?|750 mg ÷ 375 mg/ml = 2 ml.<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 1)</i></small>|examen_final::mezclas::concentracion
Ejercicio (ACV): paciente con debilidad y alteración del habla, PA 165/120, TAC con ACV isquémico. ¿Qué medicamentos se administran y por qué?|Labetalol (la PA diastólica de 120 supera 110; hay que bajar la TA a &lt;180/110 antes de trombolizar) y alteplasa/rtPA (trombólisis del ACV isquémico).<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 2)</i></small>|examen_final::mezclas::acv
Ejercicio (ACV): ¿cómo se clasifica en el triage un paciente con ACV isquémico agudo y signos activos?|Triage II (emergencia tiempo-dependiente): el ACV es el ejemplo clásico; requiere atención prioritaria aunque los signos vitales estén estables. (Algunas instituciones lo clasifican como Triage I.)<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 2)</i></small>|examen_final::mezclas::acv
Ejercicio (ACV isquémico, 95 kg): alteplasa (rtPA) a 0,9 mg/kg. ¿Dosis total, bolo e infusión?|Total = 0,9 × 95 = 85,5 mg. Bolo (10 %) = 8,55 mg en 1 min. Infusión (90 %) = 76,95 mg en 1 h.<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 2)</i></small>|examen_final::mezclas::acv
Ejercicio (ACV, 95 kg): alteplasa reconstituida a 1 mg/ml, infusión = 76,95 mg en 1 h. ¿A cuántos ml/h?|76,95 mg ÷ 1 mg/ml = 76,95 ml en 1 h ≈ 77 ml/h (el bolo de 8,55 ml se pasa aparte en 1 min).<br><br><i>Nota: asume la reconstitución estándar de alteplasa a 1 mg/ml.</i><br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 2)</i></small>|examen_final::mezclas::acv
Ejercicio (ACV): preparar la mezcla de labetalol 500 mg/500 ml. ¿Cómo se prepara y qué concentración queda?|Diluir 500 mg de labetalol en SSN hasta completar 500 ml → concentración 1 mg/ml. (El n.º de ampollas depende de la presentación; con ampollas de 100 mg/20 ml serían 5 ampollas.)<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 2)</i></small>|examen_final::mezclas::acv
Ejercicio: fentanilo, paciente de 68 kg, dosis 5 mcg/kg/h, mezcla de 3 mg/100 ml SSN. ¿Concentración de la mezcla y ml/h de la bomba?|Concentración = 3 mg/100 ml = 30 mcg/ml. Dosis = 5 × 68 = 340 mcg/h. ml/h = 340 ÷ 30 = 11,3 ml/h.<br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 3)</i></small>|examen_final::mezclas::infusiones
Ejercicio: fentanilo, mezcla de 3 mg/100 ml. ¿Cuántas ampollas y cómo se prepara? (ampolla de 0,5 mg/10 ml)|3 mg ÷ 0,5 mg = 6 ampollas (6 × 10 ml = 60 ml) + 40 ml de SSN para completar 100 ml.<br><br><i>Nota: el n.º de ampollas depende de la presentación; aquí se asume 0,5 mg (500 mcg)/10 ml, la del material de Salas.</i><br><br><small><i>Fuente: Ejercicios de Mezclas y Diluciones (ej. 3)</i></small>|examen_final::mezclas::infusiones
